Sample,Donor,Sample_type,score,proximity,model,standardized_beta,n_cells,n_fovs
170T,Donor170,T,noncytokine8,epithelial_mass_k20,adjusted,0.00019862224023646256,933,21
170T,Donor170,T,noncytokine8,nearest_epithelial_mass,unadjusted,0.09014658153946344,933,21
170T,Donor170,T,noncytokine8,nearest_epithelial_mass,adjusted,-0.0005907337769803789,933,21
170T,Donor170,T,three_gene,epi_k20,unadjusted,0.11966867871598469,933,21
170T,Donor170,T,three_gene,epi_k20,adjusted,-0.018022038034754568,933,21
170T,Donor170,T,three_gene,nearest_epi,unadjusted,0.0642265538550633,933,21
170T,Donor170,T,three_gene,nearest_epi,adjusted,-0.031326465033619875,933,21
170T,Donor170,T,three_gene,epithelial_mass_k20,unadjusted,0.09509596441173068,933,21
170T,Donor170,T,three_gene,epithelial_mass_k20,adjusted,0.019774697901854484,933,21
170T,Donor170,T,three_gene,nearest_epithelial_mass,unadjusted,0.130870261779085,933,21
170T,Donor170,T,three_gene,nearest_epithelial_mass,adjusted,0.05708321233722898,933,21
278N,Donor278,N,core13,epi_k20,unadjusted,-0.06019042080309991,537,10
278N,Donor278,N,core13,epi_k20,adjusted,-0.005382463170456682,537,10
278N,Donor278,N,core13,nearest_epi,unadjusted,-0.09193098293897188,537,10
278N,Donor278,N,core13,nearest_epi,adjusted,-0.0035110072402711272,537,10
278N,Donor278,N,core13,epithelial_mass_k20,unadjusted,-0.020997562342970007,537,10
278N,Donor278,N,core13,epithelial_mass_k20,adjusted,-0.02398173879459831,537,10
278N,Donor278,N,core13,nearest_epithelial_mass,unadjusted,-0.06719956148736908,537,10
278N,Donor278,N,core13,nearest_epithelial_mass,adjusted,-0.028271778023208467,537,10
278N,Donor278,N,noncytokine8,epi_k20,unadjusted,0.016948218115775238,537,10
278N,Donor278,N,noncytokine8,epi_k20,adjusted,0.038032492388474164,537,10
278N,Donor278,N,noncytokine8,nearest_epi,unadjusted,0.006251994864051533,537,10
278N,Donor278,N,noncytokine8,nearest_epi,adjusted,0.06089444786187424,537,10
278N,Donor278,N,noncytokine8,epithelial_mass_k20,unadjusted,0.022555929863699083,537,10
